/* Database Systems, Coronel/Morris */
/* Type of SQL : MySQL */

CREATE TABLE ORDERS (
ORDER_ID int PRIMARY KEY,
ORDER_DATE DATETIME,
DEPT_ID nvarchar (6),
VENDOR_ID nvarchar (10),
PRODUCT_ID nvarchar (60),
ORDER_TOTCOST float
);

INSERT INTO ORDERS VALUES (1, '2013-08-28', 'PRODUC', 'ADM', 'Pencil', 33);
INSERT INTO ORDERS VALUES (63, '2014-07-31', 'DESIGN', 'CBM', 'Paper', 195);
INSERT INTO ORDERS VALUES (64, '2014-07-17', 'PRODUC', 'GLOBAL', 'Toners', 220.48);
INSERT INTO ORDERS VALUES (65, '2014-07-17', 'PRODUC', 'XTT', 'Labels', 186);
INSERT INTO ORDERS VALUES (66, '2014-07-21', 'DESIGN', 'CBM', 'Labels', 195);
INSERT INTO ORDERS VALUES (67, '2014-09-03', 'DESIGN', 'XTT', 'Disks', 360);
INSERT INTO ORDERS VALUES (68, '2014-09-12', 'PRODUC', 'CBM', 'Labels', 195);
INSERT INTO ORDERS VALUES (69, '2014-10-01', 'PRODUC', 'CBM', 'Paper', 195);
INSERT INTO ORDERS VALUES (70, '2014-10-02', 'PRODUC', 'GLOBAL', 'Paper', 214.89);
INSERT INTO ORDERS VALUES (71, '2014-10-15', 'PRODUC', 'XTT', 'Ribbons', 50);
INSERT INTO ORDERS VALUES (72, '2014-10-30', 'PRODUC', 'CBM', 'Ribbons', 195);
INSERT INTO ORDERS VALUES (73, '2014-10-25', 'PRODUC', 'XTT', 'Pencil', 27.01);
INSERT INTO ORDERS VALUES (74, '2014-11-15', 'PRODUC', 'XTT', 'Ribbons', 120);
INSERT INTO ORDERS VALUES (75, '2014-11-21', 'ACCTNG', 'BCC', 'Ribbons', 14);
INSERT INTO ORDERS VALUES (76, '2014-11-19', 'ACCTNG', 'GLOBAL', 'Paper', 135);
INSERT INTO ORDERS VALUES (77, '2015-01-02', 'ACCTNG', 'MCC', 'Ribbons', 153);
INSERT INTO ORDERS VALUES (78, '2015-01-14', 'ACCTNG', 'MCC', 'Ribbons', 153.25);
INSERT INTO ORDERS VALUES (79, '2015-01-14', 'ACCTNG', 'XTT', 'Ribbons', 258);
INSERT INTO ORDERS VALUES (80, '2015-01-14', 'PRODUC', 'ADM', 'Ribbons', 248);
INSERT INTO ORDERS VALUES (81, '2015-01-22', 'PRODUC', 'ADM', 'Ribbons', 169.94);
INSERT INTO ORDERS VALUES (82, '2015-01-21', 'PRODUC', 'MCC', 'Paper', 33);
INSERT INTO ORDERS VALUES (83, '2015-01-29', 'MARKET', 'BCC', 'Disks', 2999);
INSERT INTO ORDERS VALUES (84, '2015-01-29', 'PRODUC', 'ADM', 'Ribbons', 284.92);
INSERT INTO ORDERS VALUES (85, '2015-01-29', 'PRODUC', 'MCC', 'Ribbons', 45);
INSERT INTO ORDERS VALUES (86, '2015-02-06', 'MARKET', 'GLOBAL', 'Ribbons', 289.06);
INSERT INTO ORDERS VALUES (87, '2015-02-07', 'MARKET', 'MCC', 'Disks', 355.75);
INSERT INTO ORDERS VALUES (88, '2015-03-16', 'PRODUC', 'XTT', 'Paper', 64.4);
INSERT INTO ORDERS VALUES (89, '2015-03-14', 'PRODUC', 'MCC', 'Ribbons', 56.45);
INSERT INTO ORDERS VALUES (90, '2015-03-14', 'PRODUC', 'MCC', 'Toners', 57.5);
INSERT INTO ORDERS VALUES (91, '2015-03-14', 'PRODUC', 'GLOBAL', 'Labels', 78.4);
INSERT INTO ORDERS VALUES (92, '2015-03-14', 'PRODUC', 'ADM', 'Labels', 276.84);
INSERT INTO ORDERS VALUES (93, '2015-03-14', 'DESIGN', 'BCC', 'Disks', 344.85);
INSERT INTO ORDERS VALUES (94, '2015-03-14', 'PRODUC', 'CBM', 'Labels', 133.95);
INSERT INTO ORDERS VALUES (95, '2015-03-15', 'PRODUC', 'ADM', 'Disks', 425.75);
INSERT INTO ORDERS VALUES (96, '2015-03-20', 'PRODUC', 'ADM', 'Disks', 326.76);
INSERT INTO ORDERS VALUES (97, '2015-03-29', 'ACCTNG', 'ADM', 'Disks', 377.94);
INSERT INTO ORDERS VALUES (98, '2015-03-29', 'ACCTNG', 'ADM', 'Labels', 22.5);
INSERT INTO ORDERS VALUES (99, '2015-04-08', 'ACCTNG', 'XTT', 'Labels', 132);
INSERT INTO ORDERS VALUES (100, '2015-04-08', 'PRODUC', 'XTT', 'Labels', 188);
INSERT INTO ORDERS VALUES (101, '2015-04-08', 'PRODUC', 'XTT', 'Disks', 474);
INSERT INTO ORDERS VALUES (102, '2015-04-24', 'PRODUC', 'CBM', 'Labels', 186);
INSERT INTO ORDERS VALUES (103, '2015-04-17', 'PRODUC', 'MCC', 'Labels', 33);
INSERT INTO ORDERS VALUES (104, '2015-04-25', 'DESIGN', 'ADM', 'Paper', 482.52);
INSERT INTO ORDERS VALUES (105, '2015-04-25', 'PRODUC', 'MCC', 'Labels', 117.65);
INSERT INTO ORDERS VALUES (106, '2015-04-26', 'PRODUC', 'ADM', 'Disks', 375.62);
INSERT INTO ORDERS VALUES (107, '2015-05-02', 'PRODUC', 'ADM', 'Labels', 258.79);
INSERT INTO ORDERS VALUES (108, '2015-05-02', 'PRODUC', 'ADM', 'Disks', 33.95);
INSERT INTO ORDERS VALUES (109, '2015-05-02', 'PRODUC', 'BCC', 'Paper', 230);
INSERT INTO ORDERS VALUES (110, '2015-05-03', 'PRODUC', 'BCC', 'Disks', 475);
INSERT INTO ORDERS VALUES (111, '2015-05-03', 'PRODUC', 'BCC', 'Labels', 279);
INSERT INTO ORDERS VALUES (112, '2015-06-03', 'PRODUC', 'MCC', 'Labels', 156.75);
INSERT INTO ORDERS VALUES (113, '2015-06-19', 'PRODUC', 'CBM', 'Disks', 158);
INSERT INTO ORDERS VALUES (114, '2015-06-21', 'PRODUC', 'ADM', 'Disks', 88.24);
INSERT INTO ORDERS VALUES (115, '2015-07-04', 'PRODUC', 'ADM', 'Disks', 81.65);
INSERT INTO ORDERS VALUES (116, '2015-07-10', 'PRODUC', 'BCC', 'Paper', 90.52);
INSERT INTO ORDERS VALUES (117, '2015-07-10', 'PRODUC', 'MCC', 'Paper', 95.09);
INSERT INTO ORDERS VALUES (118, '2015-07-12', 'PRODUC', 'BCC', 'Toners', 60);
INSERT INTO ORDERS VALUES (119, '2015-07-30', 'PRODUC', 'ADM', 'Disks', 126.29);
INSERT INTO ORDERS VALUES (120, '2015-08-20', 'ACCTNG', 'ADM', 'Ribbons', 286.6);
INSERT INTO ORDERS VALUES (122, '2015-08-22', 'MARKET', 'XTT', 'Toners', 106.5);
INSERT INTO ORDERS VALUES (123, '2015-08-22', 'PRODUC', 'ADM', 'Toners', 352.49);
INSERT INTO ORDERS VALUES (124, '2015-09-20', 'ACCTNG', 'MCC', 'Disks', 345);
INSERT INTO ORDERS VALUES (125, '2015-09-24', 'PRODUC', 'ADM', 'Disks', 197.97);
INSERT INTO ORDERS VALUES (126, '2015-09-24', 'PRODUC', 'MCC', 'Disks', 160);
INSERT INTO ORDERS VALUES (127, '2015-09-24', 'PRODUC', 'GLOBAL', 'Disks', 156.75);
INSERT INTO ORDERS VALUES (128, '2015-09-24', 'PRODUC', 'BCC', 'Paper', 242);
INSERT INTO ORDERS VALUES (129, '2015-09-27', 'ACCTNG', 'ADM', 'Disks', 269.9);
INSERT INTO ORDERS VALUES (130, '2015-09-30', 'PRODUC', 'XTT', 'Disks', 396);
INSERT INTO ORDERS VALUES (131, '2015-10-09', 'PRODUC', 'ADM', 'Disks', 120.04);
INSERT INTO ORDERS VALUES (132, '2015-10-22', 'PRODUC', 'ADM', 'Paper', 106.4);
INSERT INTO ORDERS VALUES (133, '2015-10-29', 'PRODUC', 'BCC', 'Disks', 490.5);
INSERT INTO ORDERS VALUES (134, '2015-10-31', 'PRODUC', 'BCC', 'Disks', 277.12);
INSERT INTO ORDERS VALUES (135, '2015-11-04', 'PRODUC', 'CBM', 'Disks', 383.5);
INSERT INTO ORDERS VALUES (136, '2015-11-05', 'PRODUC', 'MCC', 'Disks', 153.44);
INSERT INTO ORDERS VALUES (137, '2015-12-02', 'PRODUC', 'ADM', 'Disks', 24.95);
INSERT INTO ORDERS VALUES (138, '2015-12-02', 'PRODUC', 'ALLDAY', 'Paper', 12.81);
INSERT INTO ORDERS VALUES (139, '2015-10-13', 'PRODUC', 'ALLDAY', 'Toners', 36);
INSERT INTO ORDERS VALUES (140, '2015-11-15', 'ACCTNG', 'ALLDAY', 'Disks', 320);
INSERT INTO ORDERS VALUES (141, '2015-12-24', 'PRODUC', 'MCC', 'Labels', 100);
INSERT INTO ORDERS VALUES (142, '2015-12-24', 'ACCTNG', 'MCC', 'Labels', 54);
INSERT INTO ORDERS VALUES (143, '2015-12-26', 'PRODUC', 'MCC', 'Disks', 400.17);
INSERT INTO ORDERS VALUES (144, '2016-01-07', 'MARKET', 'MCC', 'Disks', 421);
INSERT INTO ORDERS VALUES (145, '2016-01-07', 'MARKET', 'MCC', 'Labels', 124.61);
INSERT INTO ORDERS VALUES (146, '2016-01-08', 'MARKET', 'MCC', 'Labels', 279.8);
INSERT INTO ORDERS VALUES (147, '2016-01-10', 'MARKET', 'ADM', 'Ribbons', 257.9);
INSERT INTO ORDERS VALUES (148, '2015-12-24', 'DESIGN', 'CBM', 'Disks', 9352);
INSERT INTO ORDERS VALUES (149, '2015-12-24', 'DESIGN', 'XTT', 'Disks', 1074);
INSERT INTO ORDERS VALUES (150, '2016-01-27', 'PRODUC', 'MCC', 'Paper', 153.48);
INSERT INTO ORDERS VALUES (151, '2016-02-03', 'PRODUC', 'ADM', 'Labels', 142.9);
INSERT INTO ORDERS VALUES (152, '2016-02-10', 'MARKET', 'ADM', 'Labels', 126.93);
INSERT INTO ORDERS VALUES (153, '2016-02-14', 'PRODUC', 'BCC', 'Ribbons', 28.5);
INSERT INTO ORDERS VALUES (154, '2015-03-17', 'MARKET', 'BCC', 'Labels', 217.68);
INSERT INTO ORDERS VALUES (155, '2016-03-23', 'PRODUC', 'MCC', 'Disks', 484);
INSERT INTO ORDERS VALUES (156, '2016-04-02', 'DESIGN', 'XTT', 'Disks', 5860);
INSERT INTO ORDERS VALUES (157, '2016-04-02', 'PRODUC', 'ADM', 'Ribbons', 100);
INSERT INTO ORDERS VALUES (158, '2016-04-06', 'PRODUC', 'ADM', 'Labels', 26);
INSERT INTO ORDERS VALUES (159, '2016-04-15', 'MARKET', 'ADM', 'Paper', 366);
INSERT INTO ORDERS VALUES (160, '2016-04-15', 'PRODUC', 'ADM', 'Toners', 157.25);
INSERT INTO ORDERS VALUES (161, '2016-04-15', 'PRODUC', 'BCC', 'Labels', 217.68);
INSERT INTO ORDERS VALUES (162, '2016-02-20', 'DESIGN', 'XTT', 'Paper', 2650);
INSERT INTO ORDERS VALUES (163, '2016-04-20', 'MARKET', 'ADM', 'Envelopes', 328.23);
INSERT INTO ORDERS VALUES (164, '2016-04-23', 'PRODUC', 'BCC', 'Labels', 53.5);
INSERT INTO ORDERS VALUES (165, '2016-04-30', 'ACCTNG', 'BCC', 'Labels', 149.5);
INSERT INTO ORDERS VALUES (166, '2016-05-12', 'PRODUC', 'MCC', 'Paper', 203.84);
INSERT INTO ORDERS VALUES (167, '2016-04-29', 'ACCTNG', 'MCC', 'Envelopes', 329.16);
INSERT INTO ORDERS VALUES (168, '2016-04-14', 'PRODUC', 'MCC', 'Paper', 423);
INSERT INTO ORDERS VALUES (169, '2016-05-29', 'PRODUC', 'CBM', 'Labels', 139);
INSERT INTO ORDERS VALUES (170, '2016-06-18', 'PRODUC', 'MCC', 'Envelopes', 498.56);
INSERT INTO ORDERS VALUES (171, '2016-07-06', 'PRODUC', 'MCC', 'Labels', 289);
INSERT INTO ORDERS VALUES (172, '2016-07-06', 'PRODUC', 'BCC', 'Labels', 234.36);
INSERT INTO ORDERS VALUES (173, '2016-07-09', 'PRODUC', 'GLOBAL', 'Paper', 28);
INSERT INTO ORDERS VALUES (174, '2016-07-09', 'DESIGN', 'MCC', 'Paper', 114.8);
INSERT INTO ORDERS VALUES (175, '2016-07-10', 'PRODUC', 'MCC', 'Paper', 478.78);
INSERT INTO ORDERS VALUES (176, '2016-07-13', 'PRODUC', 'ADM', 'Toners', 36.45);
INSERT INTO ORDERS VALUES (177, '2016-07-15', 'DESIGN', 'MCC', 'Labels', 259.3);
INSERT INTO ORDERS VALUES (178, '2016-07-22', 'PRODUC', 'MCC', 'Labels', 57.95);
INSERT INTO ORDERS VALUES (179, '2016-07-23', 'PRODUC', 'ADM', 'Labels', 168.24);
INSERT INTO ORDERS VALUES (180, '2016-07-27', 'DESIGN', 'MCC', 'Labels', 55.95);
INSERT INTO ORDERS VALUES (181, '2016-07-28', 'PRODUC', 'ADM', 'Labels', 152.41);
INSERT INTO ORDERS VALUES (183, '2016-07-31', 'PRODUC', 'CBM', 'Labels', 215);
INSERT INTO ORDERS VALUES (184, '2016-08-07', 'DESIGN', 'ADM', 'Pencil', 289.9);
INSERT INTO ORDERS VALUES (185, '2016-08-27', 'PRODUC', 'ADM', 'Pencil', 55.45);
INSERT INTO ORDERS VALUES (186, '2016-09-11', 'PRODUC', 'MCC', 'Envelopes', 385.52);
INSERT INTO ORDERS VALUES (188, '2016-08-28', 'ACCTNG', 'MCC', 'Pencil', 140);
INSERT INTO ORDERS VALUES (189, '2016-08-28', 'PRODUC', 'BCC', 'Pencil', 142.9);
INSERT INTO ORDERS VALUES (190, '2016-10-16', 'ACCTNG', 'BCC', 'Ribbons', 82.67);
INSERT INTO ORDERS VALUES (191, '2016-10-29', 'PRODUC', 'ADM', 'Pencil', 228);
INSERT INTO ORDERS VALUES (192, '2016-10-23', 'MARKET', 'ADM', 'Pencil', 190);
INSERT INTO ORDERS VALUES (193, '2016-11-10', 'PRODUC', 'ADM', 'Pencil', 147);
INSERT INTO ORDERS VALUES (194, '2016-11-10', 'PRODUC', 'MCC', 'Envelopes', 429);
INSERT INTO ORDERS VALUES (195, '2016-11-10', 'DESIGN', 'MCC', 'Envelopes', 341);
INSERT INTO ORDERS VALUES (196, '2016-11-13', 'DESIGN', 'ADM', 'Envelopes', 377.89);
INSERT INTO ORDERS VALUES (197, '2016-11-13', 'PRODUC', 'BCC', 'Toners', 56);
INSERT INTO ORDERS VALUES (198, '2016-11-16', 'MARKET', 'ADM', 'Ribbons', 254.95);
INSERT INTO ORDERS VALUES (199, '2016-11-16', 'MARKET', 'BCC', 'Envelopes', 307.2);
INSERT INTO ORDERS VALUES (200, '2016-11-19', 'MARKET', 'ALLDAY', 'Paper', 94.95);
INSERT INTO ORDERS VALUES (201, '2016-11-19', 'MARKET', 'MCC', 'Paper', 8604);
INSERT INTO ORDERS VALUES (202, '2016-11-19', 'MARKET', 'MCC', 'Envelopes', 1920);
INSERT INTO ORDERS VALUES (203, '2016-12-15', 'MARKET', 'MCC', 'Envelopes', 372.85);
INSERT INTO ORDERS VALUES (204, '2016-12-15', 'MARKET', 'MCC', 'Envelopes', 455.01);
INSERT INTO ORDERS VALUES (205, '2016-12-21', 'PRODUC', 'ADM', 'Paper', 246.15);
INSERT INTO ORDERS VALUES (206, '2016-12-23', 'PRODUC', 'ADM', 'Labels', 91.07);
INSERT INTO ORDERS VALUES (207, '2016-12-24', 'DESIGN', 'ADM', 'Labels', 114.95);
INSERT INTO ORDERS VALUES (208, '2016-12-24', 'DESIGN', 'MCC', 'Toners', 55.95);
INSERT INTO ORDERS VALUES (209, '2016-12-29', 'MARKET', 'MCC', 'Envelopes', 372.85);
INSERT INTO ORDERS VALUES (210, '2017-01-18', 'DESIGN', 'ADM', 'Toners', 190.65);
INSERT INTO ORDERS VALUES (211, '2017-01-12', 'MARKET', 'ADM', 'Disks', 132.59);
INSERT INTO ORDERS VALUES (212, '2017-01-29', 'PRODUC', 'ALLDAY', 'Disks', 236.54);
INSERT INTO ORDERS VALUES (213, '2017-02-18', 'MARKET', 'MCC', 'Envelopes', 367);
INSERT INTO ORDERS VALUES (214, '2017-02-18', 'MARKET', 'ALLDAY', 'Paper', 228.5);
INSERT INTO ORDERS VALUES (215, '2017-01-16', 'MARKET', 'ALLDAY', 'Disks', 59.5);
INSERT INTO ORDERS VALUES (216, '2017-02-12', 'MARKET', 'ALLDAY', 'Envelopes', 368.76);
INSERT INTO ORDERS VALUES (217, '2017-02-22', 'PRODUC', 'ADM', 'Disks', 266);
INSERT INTO ORDERS VALUES (218, '2017-02-22', 'DESIGN', 'BCC', 'Disks', 277.95);
INSERT INTO ORDERS VALUES (219, '2017-02-22', 'PRODUC', 'ADM', 'Labels', 229.95);
INSERT INTO ORDERS VALUES (220, '2017-02-23', 'ACCTNG', 'BCC', 'Labels', 146.95);
INSERT INTO ORDERS VALUES (221, '2017-02-23', 'DESIGN', 'ADM', 'Labels', 228.65);
INSERT INTO ORDERS VALUES (222, '2017-02-23', 'ACCTNG', 'BCC', 'Labels', 64.46);
INSERT INTO ORDERS VALUES (224, '2017-02-25', 'MARKET', 'ADM', 'Envelopes', 416.09);
INSERT INTO ORDERS VALUES (225, '2017-02-25', 'MARKET', 'ADM', 'Ribbons', 283.95);
INSERT INTO ORDERS VALUES (226, '2017-03-02', 'MARKET', 'ADM', 'Ribbons', 229.9);
INSERT INTO ORDERS VALUES (227, '2017-02-22', 'MARKET', 'MCC', 'Envelopes', 810);
INSERT INTO ORDERS VALUES (228, '2017-02-22', 'MARKET', 'MCC', 'Paper', 714);
INSERT INTO ORDERS VALUES (229, '2017-02-22', 'MARKET', 'MCC', 'Paper', 499.95);
INSERT INTO ORDERS VALUES (230, '2017-03-10', 'MARKET', 'MCC', 'Envelopes', 497);
INSERT INTO ORDERS VALUES (231, '2017-03-10', 'MARKET', 'MCC', 'Disks', 9504);
INSERT INTO ORDERS VALUES (232, '2017-03-09', 'MARKET', 'MCC', 'Labels', 107.9);
INSERT INTO ORDERS VALUES (233, '2017-03-15', 'MARKET', 'MCC', 'Paper', 486.9);
INSERT INTO ORDERS VALUES (234, '2017-03-15', 'MARKET', 'MCC', 'Envelopes', 445.54);
INSERT INTO ORDERS VALUES (235, '2017-03-16', 'MARKET', 'ADM', 'Pencil', 354);
INSERT INTO ORDERS VALUES (236, '2017-03-17', 'MARKET', 'MCC', 'Labels', 107.9);
INSERT INTO ORDERS VALUES (237, '2017-03-24', 'MARKET', 'ALLDAY', 'Labels', 228.5);
INSERT INTO ORDERS VALUES (238, '2017-03-25', 'MARKET', 'ADM', 'Pencil', 463.56);
INSERT INTO ORDERS VALUES (239, '2017-03-25', 'PRODUC', 'MCC', 'Envelopes', 482);
INSERT INTO ORDERS VALUES (240, '2017-03-30', 'MARKET', 'ALLDAY', 'Pencil', 107.9);
INSERT INTO ORDERS VALUES (241, '2017-03-13', 'MARKET', 'ALLDAY', 'Envelopes', 403.75);
INSERT INTO ORDERS VALUES (242, '2017-04-01', 'DESIGN', 'MCC', 'Ribbons', 254);
INSERT INTO ORDERS VALUES (243, '2017-04-02', 'DESIGN', 'BCC', 'Labels', 54.95);
INSERT INTO ORDERS VALUES (244, '2017-04-02', 'PRODUC', 'MCC', 'Envelopes', 486.9);
INSERT INTO ORDERS VALUES (245, '2017-04-07', 'DESIGN', 'MCC', 'Labels', 76.95);
INSERT INTO ORDERS VALUES (246, '2017-04-08', 'DESIGN', 'MCC', 'Pencil', 382.95);
INSERT INTO ORDERS VALUES (247, '2017-04-09', 'DESIGN', 'MCC', 'Labels', 76.95);
INSERT INTO ORDERS VALUES (248, '2017-04-13', 'PRODUC', 'ADM', 'Envelopes', 362.17);
INSERT INTO ORDERS VALUES (249, '2017-04-15', 'MARKET', 'MCC', 'Envelopes', 363.65);
INSERT INTO ORDERS VALUES (250, '2017-04-15', 'MARKET', 'ALLDAY', 'Envelopes', 479.85);
INSERT INTO ORDERS VALUES (251, '2017-04-15', 'PRODUC', 'MCC', 'Labels', 292.95);
INSERT INTO ORDERS VALUES (252, '2017-04-15', 'MARKET', 'ALLDAY', 'Paper', 325.27);
INSERT INTO ORDERS VALUES (253, '2017-05-18', 'DESIGN', 'MCC', 'Labels', 76.95);
INSERT INTO ORDERS VALUES (254, '2017-05-17', 'MARKET', 'ALLDAY', 'Envelopes', 314.5);
INSERT INTO ORDERS VALUES (255, '2017-05-18', 'DESIGN', 'MCC', 'Toners', 129);
INSERT INTO ORDERS VALUES (256, '2017-05-25', 'DESIGN', 'BCC', 'Labels', 60);
INSERT INTO ORDERS VALUES (257, '2017-05-25', 'DESIGN', 'MCC', 'Labels', 202.5);
INSERT INTO ORDERS VALUES (258, '2017-05-31', 'MARKET', 'ALLDAY', 'Envelopes', 1900);
INSERT INTO ORDERS VALUES (259, '2017-06-16', 'PRODUC', 'MCC', 'Envelopes', 413.6);
INSERT INTO ORDERS VALUES (260, '2017-06-29', 'DESIGN', 'MCC', 'Ribbons', 271);
INSERT INTO ORDERS VALUES (261, '2017-06-30', 'ACCTNG', 'ADM', 'Labels', 123.95);
